Image,Num_Objects,Processing_Time_sec,FPS
10.png,3,2.449,0.4083299305839118
12.png,13,1.66,0.6024096385542169
17.png,5,1.349,0.7412898443291327
18.png,4,0.82,1.2195121951219512
182791.png,2,1.106,0.9041591320072332
1829128.png,3,0.982,1.0183299389002036
21.png,1,0.618,1.6181229773462784
2189221.png,0,0.732,1.366120218579235
232387.png,0,0.525,1.9047619047619047
24.png,1,0.626,1.597444089456869
